label,country,state,county,Event Start Date,Site.Ownership,Site.Access,Site.Classification,Site.Use,Survey.Class,Survey.Season,ANPA,CORA,COTO,COTOi,COTOp,COTOv,EPFU,LABO,LANO,MYAU,MYCA,MYCI,MYEV,MYGR,MYLU,MYSE,MYSO,MYSP,MYVE,PESU,TABR,UNKN,Total.Live,Total.Dead,Total.Bat.Count,vulnerable_c,vulnerable_p,Total.Species,h.density50,type,Event Type,Public,Number Affected,Event End Date,Species,release_date,status_season
Pd not detected,USA,WI,RICHLAND,3/10/14,redacted,Open-seasonal/restricted,Cave-show,Hibernaculum,Active,2013-14,0,0,0,0,0,0,3,0,0,0,0,0,0,0,6,0,0,7,0,1,0,0,17,0,17,7,2,4,6.40054512,cave,,,,,,,
Pd not detected,USA,WI,GRANT,4/8/14,redacted,Open-seasonal/restricted,Mine-inactive,Hibernaculum,Active,2013-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,4,0,0,0,53,0,0,62,0,62,62,3,3,17.08782578,mine,,,,,,,
Pd not detected,USA,WI,PIERCE,4/9/14,redacted,Gated-all year,Mine-active,Hibernaculum,Active,2013-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30010,0,0,0,0,0,0,0,30000,10,30010,30010,1,1,15.26772594,mine,,,,,,,
Pd not detected,USA,WI,Monroe,1/20/15,redacted,Gated-breech,Mine-inactive,Hibernaculum,Active,2014-15,0,0,0,0,0,0,245,0,0,0,0,0,0,0,126,0,0,5,0,1,0,0,377,0,377,127,2,4,8.765414238,mine,,,,,,,
Pd not detected,USA,WI,IOWA,1/21/15,redacted,Gated-all year,Cave-show (inactive),Hibernaculum,Active,2014-15,0,0,0,0,0,0,1,0,0,0,0,0,0,0,4,11,0,19,0,27,0,0,62,0,62,42,3,5,32.75514984,cave,,,,,,,
Pd not detected,USA,WI,Iowa,1/21/15,redacted,Open-seasonal/restricted,Cave-undeveloped,Hibernaculum,Active,2014-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,6,0,1,0,16,0,0,34,0,34,33,3,4,19.0710907,cave,,,,,,,
Pd not detected,USA,WI,Iowa,1/22/15,redacted,Open-seasonal/restricted,Cave-undeveloped,Hibernaculum,Active,2014-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0,0,25,0,25,25,1,1,8.90569973,cave,,,,,,,
Pd not detected,USA,WI,Iowa,1/22/15,redacted,Open-all year,Mine-inactive,Hibernaculum,Active,2014-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,7,0,2,0,43,0,0,118,0,118,116,3,4,9.183097839,mine,,,,,,,
Pd not detected,USA,WI,Crawford,1/28/15,redacted,Open-seasonal/restricted,Cave-undeveloped,Hibernaculum,Active,2014-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,5,0,0,6,0,6,6,2,2,5.981344223,cave,,,,,,,
Pd not detected,USA,WI,Crawford,1/28/15,redacted,Open-seasonal/restricted,Cave-undeveloped,Hibernaculum,Active,2014-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,17,0,0,19,0,19,18,2,3,6.676739216,cave,,,,,,,
